"","cell_id","clampfit_gain","resp_offset","resp_channel_name","command_channel_name","expt_date","layer_name","cell_type","recorder_name","subject_id","rmp"
"172","19129072.abf","20X",-15.2,"I clamp(pA)","Current _in (pA)",2019-01-29,"L3c","Pyr","Homeira","X2019.01.29",-67.2
"173","19129052.abf","20 X",-22.3,"I clamp(pA)","Current_in (pA)",2019-01-29,"L2.3","Pyr","Homeira","X2019.01.29",-60.3
"174","19129057.abf","20 X",-20.7,"I clamp(pA)","Current_in (pA)",2019-01-29,"L2.3","Pyr","Homeira","X2019.01.29",-67.7
"175","19129069.abf","20 X",-17.2,"I clamp(pA)","Current_in (pA)",2019-01-29,"L2.3","Pyr","Homeira","X2019.01.29",-67.2
"176","19129015.abf","20X",-22.7,"Iclamp(mV)","Current_in (pA)",2019-01-29,"L5","Pyr","Homeira","X2019.01.29",-62.7
"177","19129022.abf","20X",-15.8,"Iclamp(mV)","Current_in (pA)",2019-01-29,"L5","Pyr","Homeira","X2019.01.29",-65.8
"178","19129024.abf","20X",-18.7,"Iclamp(mV)","Current_in (pA)",2019-01-29,"L5","Pyr","Homeira","X2019.01.29",-63.7
"179","19129037.abf","20X",-16.9,"Iclamp(mV)","Current_in (pA)",2019-01-29,"L5","Pyr","Homeira","X2019.01.29",-62.9
"180","19320024.abf","20 X",-15.9,"I clamp(pA)","Current_in (pA)",2019-03-20,"L3c","Pyr","Homeira","X2019.03.20",-75.9
"181","19320017.abf","20 X",-27.2,"I clamp(pA)","Current_in (pA)",2019-03-20,"L2.3","Pyr","Homeira","X2019.03.20",-73.2
"182","19320025.abf","20 X",-16,"I clamp(pA)","Current_in (pA)",2019-03-20,"L2.3","Pyr","Homeira","X2019.03.20",-66
"183","19320030.abf","20 X",-15.9,"I clamp(pA)","Current_in (pA)",2019-03-20,"L2.3","Pyr","Homeira","X2019.03.20",-65.9
"184","19320001.abf","20X",-15.8,"Iclamp(mV)","Current_in (pA)",2019-03-20,"L5","Pyr","Homeira","X2019.03.20",-65.8
