"","cell_id","layer_name","cell_type","recorder_name","subject_id","acquisition_time","rmp","voltage_drift","has_morphology","tag_comments","has_burst"
"79","15127028.abf","L2.3","Pyr","Lihua","X2015.01.27","2015-01-27 15:12:54.622",-73.2238785898062,0.115968433556205,FALSE,"",TRUE
"80","15127041.abf","L2.3","Int","Lihua","X2015.01.27","2015-01-27 16:31:07.861",-76.8676774993765,0.421144296251498,FALSE,"",FALSE
"81","15127061.abf","L2.3","Pyr","Lihua","X2015.01.27","2015-01-27 17:12:22.116",-69.7265640585101,5.58471835538511,FALSE,"",FALSE
"82","15127092.abf","L2.3","Int","Lihua","X2015.01.27","2015-01-27 18:43:16.230",-78.2959001875497,1.46484550004971,FALSE,"",FALSE
"83","15127106.abf","L2.3","Pyr","Lihua","X2015.01.27","2015-01-27 19:26:14.617",-69.7998062476472,1.6723648413972,FALSE,"",TRUE
"84","15127132.abf","L2.3","Pyr","Lihua","X2015.01.27","2015-01-27 20:10:55.986",-71.1669937782063,1.59070630445513e-06,FALSE,"",TRUE
"85","15224000.abf","L5","Int","Lihua","X2015.02.24","2015-02-24 13:06:23.728",-74.6826188567866,0.0610368255365898,FALSE,"",FALSE
"86","15224025.abf","L5","Pyr","Lihua","X2015.02.24","2015-02-24 13:56:28.549",-80,6.46240234375,FALSE,"",FALSE
"87","15224059.abf","L5","Pyr","Lihua","X2015.02.24","2015-02-24 15:42:07.090",-74.8596208138679,1.66015792324291,FALSE,"",FALSE
"88","15312000.abf","L2.3","Int","Lihua","X2015.03.12","2015-03-12 13:13:21.404",-75.0671403497563,1.7150895685063,FALSE,"",FALSE
"89","15312031.abf","L2.3","Int","Lihua","X2015.03.12","2015-03-12 14:01:06.635",-78.4545915973468,3.61938651922179,FALSE,"",FALSE
"90","15312053.abf","L2.3","Int","Lihua","X2015.03.12","2015-03-12 15:10:31.985",-72.9553238963036,6.0913102244286,FALSE,"",FALSE
"91","15312105.abf","L2.3","Pyr","Lihua","X2015.03.12","2015-03-12 17:09:44.396",-79.4006365403675,0.244142399742501,FALSE,"",FALSE
"92","15312132.abf","L2.3","Pyr","Lihua","X2015.03.12","2015-03-12 17:41:21.025",-64.5202651140153,6.01196433276529,FALSE,"",FALSE
"93","15330000.abf","L5","Pyr","Lihua","X2015.03.30","2015-03-30 14:15:09.003",-77.9052751788186,0.762941194443599,FALSE,"",FALSE
"94","15330028.abf","L5","Int","Lihua","X2015.03.30","2015-03-30 15:34:41.582",-74,3.142333984375,FALSE,"",FALSE
"95","15330053.abf","L5","Pyr","Lihua","X2015.03.30","2015-03-30 16:37:17.884",-67.4926772898289,1.0253921335789,FALSE,"",TRUE
"96","15407000.abf","L5","Int","Lihua","X2015.04.07","2015-04-07 13:12:05.612",-74.4140641632839,1.37939619453391,FALSE,"",FALSE
"97","15420000.abf","L5","Pyr","Lihua","X2015.04.20","2015-04-20 13:44:28.152",-71.9360367641457,0.347901998520697,FALSE,"",FALSE
"98","15420026.abf","L5","Pyr","Lihua","X2015.04.20","2015-04-20 14:26:27.370",-76.6540544477266,1.71335159393493e-06,FALSE,"",FALSE
"99","15420048.abf","L5","Pyr","Lihua","X2015.04.20","2015-04-20 14:59:26.363",-80,0.3369140625,FALSE,"",FALSE
"100","15420096.abf","L5","Pyr","Lihua","X2015.04.20","2015-04-20 16:36:08.892",-76,0.50146484375,FALSE,"",FALSE
"101","15616008.abf","L5","Pyr","Homeira","X2015.06.16","2015-06-16 14:51:57.875",-54.1,4.35913276672363,FALSE,"C#3, Layer 5 A, human tissue,RMP -54.1 mv, Gain 100",FALSE
"102","15616022.abf","L5","Pyr","Homeira","X2015.06.16","2015-06-16 16:27:59.250",-58.4,1.08154487609863,FALSE,"C#6, Layer 5 A,RMP -58.4 mV",FALSE
"103","15616035.abf","L5","Pyr","Homeira","X2015.06.16","2015-06-16 17:38:06.421",-57.8,2.24451065063477,FALSE,"C#9,  Layer 5 A,, RMP -57.8 mv, 2end try",FALSE
"104","15618005.abf","L5","Pyr","Homeira","X2015.06.18","2015-06-18 14:35:36.953",-56,7.58813667297363,FALSE,"C#2, layer 5A, RMP -56. mV",FALSE
"105","15622000.abf","L5","Pyr","Homeira","X2015.06.22","2015-06-22 14:04:34.859",-60.1,6.26953315734863,FALSE,"C#1, RMP -60.1 mV, Normal aCSF",FALSE
"106","15622005.abf","L5","Pyr","Homeira","X2015.06.22","2015-06-22 14:26:44.046",-63.1,0.893558502197266,FALSE,"C#2, RMP -63.1 mV, Normal aCSF same cell",FALSE
"107","15622013.abf","L5","Pyr","Homeira","X2015.06.22","2015-06-22 15:08:12.437",-59.4,1.86645698547363,FALSE,"C#4, RMP -59.4 mV, Normal aCSF",FALSE
"108","15622015.abf","L5","Pyr","Homeira","X2015.06.22","2015-06-22 15:31:10.437",-61.4,1.55835151672363,FALSE,"C#5, RMP -61.4 mV, Normal aCSF",TRUE
"109","15622019.abf","L5","Pyr","Homeira","X2015.06.22","2015-06-22 16:24:01.281",-64.1,2.06542587280273,FALSE,"C#6, RMP -64.1 mV, Normal aCSF",FALSE
"110","15622024.abf","L5","Pyr","Homeira","X2015.06.22","2015-06-22 16:41:26.437",-60.3,0.651853561401367,FALSE,"C#7, layer 5A, RMP -60.3 mV",FALSE
"111","15723013.abf","L5","Pyr","Homeira","X2015.07.23","2015-07-23 15:31:18.984",-61.9,2.11914443969727,FALSE,"C#5, L5, Frontal cortex, aCSF,RMP -61.9 mV",FALSE
"112","15820003.abf","L5","Pyr","Homeira","X2015.08.20","2015-08-20 14:54:37.593",-61.3,8.40088272094727,FALSE,"C#2,L5, RMP -61.3 mV",TRUE
"113","15o08002.abf","L5","Pyr","Homeira","X2015.10.08","2015-10-08 13:12:28.781",-63.7,0.689453125,FALSE,"C#1, L5, RMP -63.7 mV",FALSE
